test_case,iteration,start_iso,end_iso,latency_ms,status_code,label
fake1,1,2025-11-07T21:45:33.918334+00:00,2025-11-07T21:45:33.945666+00:00,27.334,200,FAKE
fake1,2,2025-11-07T21:45:33.945712+00:00,2025-11-07T21:45:33.974743+00:00,29.030,200,FAKE
fake1,3,2025-11-07T21:45:33.974779+00:00,2025-11-07T21:45:34.001241+00:00,26.461,200,FAKE
fake1,4,2025-11-07T21:45:34.001275+00:00,2025-11-07T21:45:34.029268+00:00,27.992,200,FAKE
fake1,5,2025-11-07T21:45:34.029304+00:00,2025-11-07T21:45:34.057435+00:00,28.130,200,FAKE
fake1,6,2025-11-07T21:45:34.057469+00:00,2025-11-07T21:45:34.084951+00:00,27.482,200,FAKE
fake1,7,2025-11-07T21:45:34.084982+00:00,2025-11-07T21:45:34.113225+00:00,28.241,200,FAKE
fake1,8,2025-11-07T21:45:34.113262+00:00,2025-11-07T21:45:34.141778+00:00,28.514,200,FAKE
fake1,9,2025-11-07T21:45:34.141816+00:00,2025-11-07T21:45:34.169120+00:00,27.303,200,FAKE
fake1,10,2025-11-07T21:45:34.169156+00:00,2025-11-07T21:45:34.196859+00:00,27.701,200,FAKE
fake1,11,2025-11-07T21:45:34.196894+00:00,2025-11-07T21:45:34.225001+00:00,28.106,200,FAKE
fake1,12,2025-11-07T21:45:34.225037+00:00,2025-11-07T21:45:34.252881+00:00,27.843,200,FAKE
fake1,13,2025-11-07T21:45:34.252916+00:00,2025-11-07T21:45:34.281046+00:00,28.128,200,FAKE
fake1,14,2025-11-07T21:45:34.281084+00:00,2025-11-07T21:45:34.309303+00:00,28.217,200,FAKE
fake1,15,2025-11-07T21:45:34.309337+00:00,2025-11-07T21:45:34.336895+00:00,27.557,200,FAKE
fake1,16,2025-11-07T21:45:34.336930+00:00,2025-11-07T21:45:34.364757+00:00,27.825,200,FAKE
fake1,17,2025-11-07T21:45:34.364790+00:00,2025-11-07T21:45:34.392955+00:00,28.164,200,FAKE
fake1,18,2025-11-07T21:45:34.392990+00:00,2025-11-07T21:45:34.430550+00:00,37.559,200,FAKE
fake1,19,2025-11-07T21:45:34.430585+00:00,2025-11-07T21:45:34.457426+00:00,26.839,200,FAKE
fake1,20,2025-11-07T21:45:34.457460+00:00,2025-11-07T21:45:34.486643+00:00,29.181,200,FAKE
fake1,21,2025-11-07T21:45:34.486677+00:00,2025-11-07T21:45:34.513507+00:00,26.829,200,FAKE
fake1,22,2025-11-07T21:45:34.513561+00:00,2025-11-07T21:45:34.772863+00:00,259.301,200,FAKE
