test_case,iteration,start_iso,end_iso,latency_ms,status_code,label
real1,1,2025-11-07T21:45:40.199479+00:00,2025-11-07T21:45:40.225929+00:00,26.452,200,REAL
real1,2,2025-11-07T21:45:40.225962+00:00,2025-11-07T21:45:40.254936+00:00,28.972,200,REAL
real1,3,2025-11-07T21:45:40.254983+00:00,2025-11-07T21:45:40.287568+00:00,32.583,200,REAL
real1,4,2025-11-07T21:45:40.287604+00:00,2025-11-07T21:45:40.324481+00:00,36.876,200,REAL
real1,5,2025-11-07T21:45:40.324530+00:00,2025-11-07T21:45:40.355448+00:00,30.915,200,REAL
real1,6,2025-11-07T21:45:40.355500+00:00,2025-11-07T21:45:40.385786+00:00,30.284,200,REAL
real1,7,2025-11-07T21:45:40.385822+00:00,2025-11-07T21:45:40.421837+00:00,36.014,200,REAL
real1,8,2025-11-07T21:45:40.421892+00:00,2025-11-07T21:45:40.449960+00:00,28.066,200,REAL
real1,9,2025-11-07T21:45:40.450009+00:00,2025-11-07T21:45:40.482546+00:00,32.536,200,REAL
real1,10,2025-11-07T21:45:40.482584+00:00,2025-11-07T21:45:40.510075+00:00,27.490,200,REAL
real1,11,2025-11-07T21:45:40.510109+00:00,2025-11-07T21:45:40.537386+00:00,27.276,200,REAL
real1,12,2025-11-07T21:45:40.537434+00:00,2025-11-07T21:45:40.565379+00:00,27.943,200,REAL
real1,13,2025-11-07T21:45:40.565414+00:00,2025-11-07T21:45:40.593551+00:00,28.136,200,REAL
real1,14,2025-11-07T21:45:40.593586+00:00,2025-11-07T21:45:40.621436+00:00,27.849,200,REAL
real1,15,2025-11-07T21:45:40.621474+00:00,2025-11-07T21:45:40.649734+00:00,28.259,200,REAL
real1,16,2025-11-07T21:45:40.649770+00:00,2025-11-07T21:45:40.678035+00:00,28.263,200,REAL
real1,17,2025-11-07T21:45:40.678076+00:00,2025-11-07T21:45:40.706170+00:00,28.092,200,REAL
real1,18,2025-11-07T21:45:40.706204+00:00,2025-11-07T21:45:40.733802+00:00,27.596,200,REAL
real1,19,2025-11-07T21:45:40.733848+00:00,2025-11-07T21:45:40.761696+00:00,27.846,200,REAL
real1,20,2025-11-07T21:45:40.761729+00:00,2025-11-07T21:45:40.789601+00:00,27.871,200,REAL
real1,21,2025-11-07T21:45:40.789633+00:00,2025-11-07T21:45:40.821423+00:00,31.789,200,REAL
real1,22,2025-11-07T21:45:40.821455+00:00,2025-11-07T21:45:40.850415+00:00,28.958,200,REAL
real1,23,2025-11-07T21:45:40.850447+00:00,2025-11-07T21:45:40.877948+00:00,27.499,200,REAL
real1,24,2025-11-07T21:45:40.877984+00:00,2025-11-07T21:45:40.905873+00:00,27.888,200,REAL
real1,25,2025-11-07T21:45:40.905913+00:00,2025-11-07T21:45:40.933746+00:00,27.831,200,REAL
real1,26,2025-11-07T21:45:40.933795+00:00,2025-11-07T21:45:40.962322+00:00,28.527,200,REAL
real1,27,2025-11-07T21:45:40.962354+00:00,2025-11-07T21:45:40.989885+00:00,27.529,200,REAL
real1,28,2025-11-07T21:45:40.989916+00:00,2025-11-07T21:45:41.017695+00:00,27.778,200,REAL
real1,29,2025-11-07T21:45:41.017732+00:00,2025-11-07T21:45:41.045736+00:00,28.002,200,REAL
real1,30,2025-11-07T21:45:41.045767+00:00,2025-11-07T21:45:41.073942+00:00,28.173,200,REAL
real1,31,2025-11-07T21:45:41.073977+00:00,2025-11-07T21:45:41.101992+00:00,28.013,200,REAL
real1,32,2025-11-07T21:45:41.102027+00:00,2025-11-07T21:45:41.129777+00:00,27.748,200,REAL
real1,33,2025-11-07T21:45:41.129811+00:00,2025-11-07T21:45:41.158065+00:00,28.253,200,REAL
real1,34,2025-11-07T21:45:41.158101+00:00,2025-11-07T21:45:41.186201+00:00,28.098,200,REAL
real1,35,2025-11-07T21:45:41.186235+00:00,2025-11-07T21:45:41.214262+00:00,28.026,200,REAL
real1,36,2025-11-07T21:45:41.214298+00:00,2025-11-07T21:45:41.241904+00:00,27.605,200,REAL
real1,37,2025-11-07T21:45:41.241943+00:00,2025-11-07T21:45:41.270268+00:00,28.324,200,REAL
real1,38,2025-11-07T21:45:41.270303+00:00,2025-11-07T21:45:41.298916+00:00,28.611,200,REAL
real1,39,2025-11-07T21:45:41.298951+00:00,2025-11-07T21:45:41.326081+00:00,27.128,200,REAL
real1,40,2025-11-07T21:45:41.326120+00:00,2025-11-07T21:45:41.353634+00:00,27.513,200,REAL
real1,41,2025-11-07T21:45:41.353670+00:00,2025-11-07T21:45:41.381795+00:00,28.123,200,REAL
real1,42,2025-11-07T21:45:41.381826+00:00,2025-11-07T21:45:41.410153+00:00,28.325,200,REAL
real1,43,2025-11-07T21:45:41.410186+00:00,2025-11-07T21:45:41.437543+00:00,27.356,200,REAL
real1,44,2025-11-07T21:45:41.437576+00:00,2025-11-07T21:45:41.465722+00:00,28.145,200,REAL
real1,45,2025-11-07T21:45:41.465754+00:00,2025-11-07T21:45:41.493675+00:00,27.920,200,REAL
real1,46,2025-11-07T21:45:41.493707+00:00,2025-11-07T21:45:41.521496+00:00,27.788,200,REAL
real1,47,2025-11-07T21:45:41.521528+00:00,2025-11-07T21:45:41.549624+00:00,28.095,200,REAL
real1,48,2025-11-07T21:45:41.549656+00:00,2025-11-07T21:45:41.577426+00:00,27.769,200,REAL
real1,49,2025-11-07T21:45:41.577459+00:00,2025-11-07T21:45:41.605426+00:00,27.966,200,REAL
real1,50,2025-11-07T21:45:41.605460+00:00,2025-11-07T21:45:41.633597+00:00,28.136,200,REAL
real1,51,2025-11-07T21:45:41.633629+00:00,2025-11-07T21:45:41.661523+00:00,27.893,200,REAL
real1,52,2025-11-07T21:45:41.661555+00:00,2025-11-07T21:45:41.690161+00:00,28.605,200,REAL
real1,53,2025-11-07T21:45:41.690194+00:00,2025-11-07T21:45:41.718262+00:00,28.067,200,REAL
real1,54,2025-11-07T21:45:41.718296+00:00,2025-11-07T21:45:41.746120+00:00,27.822,200,REAL
real1,55,2025-11-07T21:45:41.746155+00:00,2025-11-07T21:45:41.773913+00:00,27.757,200,REAL
real1,56,2025-11-07T21:45:41.773944+00:00,2025-11-07T21:45:41.801664+00:00,27.718,200,REAL
real1,57,2025-11-07T21:45:41.801698+00:00,2025-11-07T21:45:41.829643+00:00,27.943,200,REAL
real1,58,2025-11-07T21:45:41.829676+00:00,2025-11-07T21:45:41.861680+00:00,32.003,200,REAL
real1,59,2025-11-07T21:45:41.861714+00:00,2025-11-07T21:45:41.889913+00:00,28.198,200,REAL
real1,60,2025-11-07T21:45:41.889948+00:00,2025-11-07T21:45:41.917754+00:00,27.805,200,REAL
real1,61,2025-11-07T21:45:41.917790+00:00,2025-11-07T21:45:41.946417+00:00,28.626,200,REAL
real1,62,2025-11-07T21:45:41.946453+00:00,2025-11-07T21:45:41.973792+00:00,27.338,200,REAL
real1,63,2025-11-07T21:45:41.973825+00:00,2025-11-07T21:45:42.001501+00:00,27.675,200,REAL
real1,64,2025-11-07T21:45:42.001533+00:00,2025-11-07T21:45:42.030803+00:00,29.268,200,REAL
real1,65,2025-11-07T21:45:42.030853+00:00,2025-11-07T21:45:42.057714+00:00,26.861,200,REAL
real1,66,2025-11-07T21:45:42.057746+00:00,2025-11-07T21:45:42.085617+00:00,27.869,200,REAL
real1,67,2025-11-07T21:45:42.085662+00:00,2025-11-07T21:45:42.113775+00:00,28.111,200,REAL
real1,68,2025-11-07T21:45:42.113818+00:00,2025-11-07T21:45:42.141783+00:00,27.964,200,REAL
real1,69,2025-11-07T21:45:42.141814+00:00,2025-11-07T21:45:42.169709+00:00,27.893,200,REAL
real1,70,2025-11-07T21:45:42.169745+00:00,2025-11-07T21:45:42.197590+00:00,27.845,200,REAL
real1,71,2025-11-07T21:45:42.197622+00:00,2025-11-07T21:45:42.225557+00:00,27.934,200,REAL
real1,72,2025-11-07T21:45:42.225588+00:00,2025-11-07T21:45:42.253526+00:00,27.936,200,REAL
