test_case,iteration,start_iso,end_iso,latency_ms,status_code,prediction,proba
fake1,1,2025-10-27T02:41:40.632938+00:00,2025-10-27T02:41:40.642830+00:00,9.893,200,1,0.9395684044017417
fake1,2,2025-10-27T02:41:40.642879+00:00,2025-10-27T02:41:40.648729+00:00,5.846,200,1,0.9395684044017417
fake1,3,2025-10-27T02:41:40.648787+00:00,2025-10-27T02:41:40.675698+00:00,26.910,200,1,0.9395684044017417
fake1,4,2025-10-27T02:41:40.675802+00:00,2025-10-27T02:41:40.682124+00:00,6.321,200,1,0.9395684044017417
fake1,5,2025-10-27T02:41:40.682166+00:00,2025-10-27T02:41:40.687159+00:00,4.992,200,1,0.9395684044017417
fake1,6,2025-10-27T02:41:40.687197+00:00,2025-10-27T02:41:40.692532+00:00,5.333,200,1,0.9395684044017417
fake1,7,2025-10-27T02:41:40.692589+00:00,2025-10-27T02:41:40.717697+00:00,25.104,200,1,0.9395684044017417
fake1,8,2025-10-27T02:41:40.717750+00:00,2025-10-27T02:41:40.723113+00:00,5.361,200,1,0.9395684044017417
fake1,9,2025-10-27T02:41:40.723171+00:00,2025-10-27T02:41:40.751701+00:00,28.529,200,1,0.9395684044017417
fake1,10,2025-10-27T02:41:40.751745+00:00,2025-10-27T02:41:40.757238+00:00,5.491,200,1,0.9395684044017417
fake1,11,2025-10-27T02:41:40.757292+00:00,2025-10-27T02:41:40.778095+00:00,20.802,200,1,0.9395684044017417
fake1,12,2025-10-27T02:41:40.778136+00:00,2025-10-27T02:41:40.782897+00:00,4.759,200,1,0.9395684044017417
fake1,13,2025-10-27T02:41:40.782951+00:00,2025-10-27T02:41:40.787995+00:00,5.043,200,1,0.9395684044017417
fake1,14,2025-10-27T02:41:40.788032+00:00,2025-10-27T02:41:40.807239+00:00,19.205,200,1,0.9395684044017417
fake1,15,2025-10-27T02:41:40.807279+00:00,2025-10-27T02:41:40.826757+00:00,19.476,200,1,0.9395684044017417
fake1,16,2025-10-27T02:41:40.826803+00:00,2025-10-27T02:41:40.854498+00:00,27.694,200,1,0.9395684044017417
fake1,17,2025-10-27T02:41:40.854535+00:00,2025-10-27T02:41:40.884677+00:00,30.139,200,1,0.9395684044017417
fake1,18,2025-10-27T02:41:40.884720+00:00,2025-10-27T02:41:40.912730+00:00,28.009,200,1,0.9395684044017417
fake1,19,2025-10-27T02:41:40.912768+00:00,2025-10-27T02:41:40.917815+00:00,5.045,200,1,0.9395684044017417
fake1,20,2025-10-27T02:41:40.917859+00:00,2025-10-27T02:41:40.944349+00:00,26.488,200,1,0.9395684044017417
fake1,21,2025-10-27T02:41:40.944389+00:00,2025-10-27T02:41:40.959332+00:00,14.942,200,1,0.9395684044017417
fake1,22,2025-10-27T02:41:40.959386+00:00,2025-10-27T02:41:40.964601+00:00,5.215,200,1,0.9395684044017417
fake1,23,2025-10-27T02:41:40.964640+00:00,2025-10-27T02:41:40.993105+00:00,28.464,200,1,0.9395684044017417
fake1,24,2025-10-27T02:41:40.993146+00:00,2025-10-27T02:41:41.020601+00:00,27.454,200,1,0.9395684044017417
fake1,25,2025-10-27T02:41:41.020640+00:00,2025-10-27T02:41:41.025723+00:00,5.081,200,1,0.9395684044017417
fake1,26,2025-10-27T02:41:41.025775+00:00,2025-10-27T02:41:41.030976+00:00,5.199,200,1,0.9395684044017417
fake1,27,2025-10-27T02:41:41.031012+00:00,2025-10-27T02:41:41.051842+00:00,20.828,200,1,0.9395684044017417
fake1,28,2025-10-27T02:41:41.051896+00:00,2025-10-27T02:41:41.067121+00:00,15.224,200,1,0.9395684044017417
fake1,29,2025-10-27T02:41:41.067162+00:00,2025-10-27T02:41:41.072194+00:00,5.031,200,1,0.9395684044017417
fake1,30,2025-10-27T02:41:41.072240+00:00,2025-10-27T02:41:41.077172+00:00,4.930,200,1,0.9395684044017417
fake1,31,2025-10-27T02:41:41.077211+00:00,2025-10-27T02:41:41.082531+00:00,5.318,200,1,0.9395684044017417
fake1,32,2025-10-27T02:41:41.082621+00:00,2025-10-27T02:41:41.089179+00:00,6.557,200,1,0.9395684044017417
fake1,33,2025-10-27T02:41:41.089228+00:00,2025-10-27T02:41:41.095502+00:00,6.272,200,1,0.9395684044017417
fake1,34,2025-10-27T02:41:41.095548+00:00,2025-10-27T02:41:41.111844+00:00,16.294,200,1,0.9395684044017417
fake1,35,2025-10-27T02:41:41.111902+00:00,2025-10-27T02:41:41.117637+00:00,5.733,200,1,0.9395684044017417
fake1,36,2025-10-27T02:41:41.117697+00:00,2025-10-27T02:41:41.122884+00:00,5.186,200,1,0.9395684044017417
fake1,37,2025-10-27T02:41:41.122923+00:00,2025-10-27T02:41:41.128742+00:00,5.817,200,1,0.9395684044017417
fake1,38,2025-10-27T02:41:41.128787+00:00,2025-10-27T02:41:41.134219+00:00,5.430,200,1,0.9395684044017417
fake1,39,2025-10-27T02:41:41.134273+00:00,2025-10-27T02:41:41.139712+00:00,5.437,200,1,0.9395684044017417
fake1,40,2025-10-27T02:41:41.139754+00:00,2025-10-27T02:41:41.145446+00:00,5.691,200,1,0.9395684044017417
fake1,41,2025-10-27T02:41:41.145487+00:00,2025-10-27T02:41:41.172926+00:00,27.438,200,1,0.9395684044017417
fake1,42,2025-10-27T02:41:41.172967+00:00,2025-10-27T02:41:41.178588+00:00,5.619,200,1,0.9395684044017417
fake1,43,2025-10-27T02:41:41.178642+00:00,2025-10-27T02:41:41.203697+00:00,25.053,200,1,0.9395684044017417
fake1,44,2025-10-27T02:41:41.203752+00:00,2025-10-27T02:41:41.232812+00:00,29.059,200,1,0.9395684044017417
fake1,45,2025-10-27T02:41:41.232856+00:00,2025-10-27T02:41:41.239336+00:00,6.478,200,1,0.9395684044017417
fake1,46,2025-10-27T02:41:41.239375+00:00,2025-10-27T02:41:41.244399+00:00,5.023,200,1,0.9395684044017417
fake1,47,2025-10-27T02:41:41.244438+00:00,2025-10-27T02:41:41.249686+00:00,5.246,200,1,0.9395684044017417
fake1,48,2025-10-27T02:41:41.249735+00:00,2025-10-27T02:41:41.266633+00:00,16.896,200,1,0.9395684044017417
fake1,49,2025-10-27T02:41:41.266674+00:00,2025-10-27T02:41:41.278956+00:00,12.280,200,1,0.9395684044017417
fake1,50,2025-10-27T02:41:41.278997+00:00,2025-10-27T02:41:41.294297+00:00,15.298,200,1,0.9395684044017417
fake1,51,2025-10-27T02:41:41.294349+00:00,2025-10-27T02:41:41.321327+00:00,26.976,200,1,0.9395684044017417
fake1,52,2025-10-27T02:41:41.321365+00:00,2025-10-27T02:41:41.337310+00:00,15.944,200,1,0.9395684044017417
fake1,53,2025-10-27T02:41:41.337349+00:00,2025-10-27T02:41:41.352878+00:00,15.527,200,1,0.9395684044017417
fake1,54,2025-10-27T02:41:41.352921+00:00,2025-10-27T02:41:41.368566+00:00,15.643,200,1,0.9395684044017417
fake1,55,2025-10-27T02:41:41.368609+00:00,2025-10-27T02:41:41.385056+00:00,16.446,200,1,0.9395684044017417
fake1,56,2025-10-27T02:41:41.385099+00:00,2025-10-27T02:41:41.413534+00:00,28.433,200,1,0.9395684044017417
fake1,57,2025-10-27T02:41:41.413577+00:00,2025-10-27T02:41:41.443224+00:00,29.645,200,1,0.9395684044017417
fake1,58,2025-10-27T02:41:41.443271+00:00,2025-10-27T02:41:41.470906+00:00,27.634,200,1,0.9395684044017417
fake1,59,2025-10-27T02:41:41.470942+00:00,2025-10-27T02:41:41.484774+00:00,13.829,200,1,0.9395684044017417
fake1,60,2025-10-27T02:41:41.484816+00:00,2025-10-27T02:41:41.511388+00:00,26.570,200,1,0.9395684044017417
fake1,61,2025-10-27T02:41:41.511429+00:00,2025-10-27T02:41:41.527331+00:00,15.900,200,1,0.9395684044017417
fake1,62,2025-10-27T02:41:41.527375+00:00,2025-10-27T02:41:41.543691+00:00,16.315,200,1,0.9395684044017417
fake1,63,2025-10-27T02:41:41.543747+00:00,2025-10-27T02:41:41.550860+00:00,7.112,200,1,0.9395684044017417
fake1,64,2025-10-27T02:41:41.550920+00:00,2025-10-27T02:41:41.558092+00:00,7.171,200,1,0.9395684044017417
fake1,65,2025-10-27T02:41:41.558137+00:00,2025-10-27T02:41:41.564178+00:00,6.040,200,1,0.9395684044017417
fake1,66,2025-10-27T02:41:41.564233+00:00,2025-10-27T02:41:41.586849+00:00,22.614,200,1,0.9395684044017417
fake1,67,2025-10-27T02:41:41.586891+00:00,2025-10-27T02:41:41.602615+00:00,15.722,200,1,0.9395684044017417
fake1,68,2025-10-27T02:41:41.602657+00:00,2025-10-27T02:41:41.617809+00:00,15.151,200,1,0.9395684044017417
fake1,69,2025-10-27T02:41:41.617855+00:00,2025-10-27T02:41:41.623172+00:00,5.315,200,1,0.9395684044017417
fake1,70,2025-10-27T02:41:41.623226+00:00,2025-10-27T02:41:41.647622+00:00,24.395,200,1,0.9395684044017417
fake1,71,2025-10-27T02:41:41.647664+00:00,2025-10-27T02:41:41.653038+00:00,5.372,200,1,0.9395684044017417
fake1,72,2025-10-27T02:41:41.653088+00:00,2025-10-27T02:41:41.677852+00:00,24.762,200,1,0.9395684044017417
fake1,73,2025-10-27T02:41:41.677892+00:00,2025-10-27T02:41:41.693334+00:00,15.441,200,1,0.9395684044017417
fake1,74,2025-10-27T02:41:41.693376+00:00,2025-10-27T02:41:41.721140+00:00,27.762,200,1,0.9395684044017417
fake1,75,2025-10-27T02:41:41.721183+00:00,2025-10-27T02:41:41.726812+00:00,5.627,200,1,0.9395684044017417
fake1,76,2025-10-27T02:41:41.726879+00:00,2025-10-27T02:41:41.733141+00:00,6.259,200,1,0.9395684044017417
fake1,77,2025-10-27T02:41:41.733468+00:00,2025-10-27T02:41:41.739151+00:00,5.683,200,1,0.9395684044017417
fake1,78,2025-10-27T02:41:41.739209+00:00,2025-10-27T02:41:41.745418+00:00,6.208,200,1,0.9395684044017417
fake1,79,2025-10-27T02:41:41.745462+00:00,2025-10-27T02:41:41.767110+00:00,21.647,200,1,0.9395684044017417
fake1,80,2025-10-27T02:41:41.767150+00:00,2025-10-27T02:41:41.772275+00:00,5.123,200,1,0.9395684044017417
fake1,81,2025-10-27T02:41:41.772328+00:00,2025-10-27T02:41:41.796670+00:00,24.340,200,1,0.9395684044017417
fake1,82,2025-10-27T02:41:41.796723+00:00,2025-10-27T02:41:41.802543+00:00,5.818,200,1,0.9395684044017417
fake1,83,2025-10-27T02:41:41.802599+00:00,2025-10-27T02:41:41.807934+00:00,5.333,200,1,0.9395684044017417
fake1,84,2025-10-27T02:41:41.807987+00:00,2025-10-27T02:41:41.813327+00:00,5.338,200,1,0.9395684044017417
fake1,85,2025-10-27T02:41:41.813383+00:00,2025-10-27T02:41:41.843226+00:00,29.842,200,1,0.9395684044017417
fake1,86,2025-10-27T02:41:41.843268+00:00,2025-10-27T02:41:41.849293+00:00,6.023,200,1,0.9395684044017417
fake1,87,2025-10-27T02:41:41.849343+00:00,2025-10-27T02:41:41.855604+00:00,6.259,200,1,0.9395684044017417
fake1,88,2025-10-27T02:41:41.855643+00:00,2025-10-27T02:41:41.861011+00:00,5.363,200,1,0.9395684044017417
fake1,89,2025-10-27T02:41:41.861067+00:00,2025-10-27T02:41:41.867772+00:00,6.703,200,1,0.9395684044017417
fake1,90,2025-10-27T02:41:41.867832+00:00,2025-10-27T02:41:41.873428+00:00,5.593,200,1,0.9395684044017417
fake1,91,2025-10-27T02:41:41.873490+00:00,2025-10-27T02:41:41.879110+00:00,5.618,200,1,0.9395684044017417
fake1,92,2025-10-27T02:41:41.879160+00:00,2025-10-27T02:41:41.898224+00:00,19.062,200,1,0.9395684044017417
fake1,93,2025-10-27T02:41:41.898280+00:00,2025-10-27T02:41:41.904880+00:00,6.597,200,1,0.9395684044017417
fake1,94,2025-10-27T02:41:41.904941+00:00,2025-10-27T02:41:41.910957+00:00,6.014,200,1,0.9395684044017417
fake1,95,2025-10-27T02:41:41.911014+00:00,2025-10-27T02:41:41.936911+00:00,25.896,200,1,0.9395684044017417
fake1,96,2025-10-27T02:41:41.936952+00:00,2025-10-27T02:41:41.943141+00:00,6.187,200,1,0.9395684044017417
fake1,97,2025-10-27T02:41:41.943201+00:00,2025-10-27T02:41:41.949256+00:00,6.054,200,1,0.9395684044017417
fake1,98,2025-10-27T02:41:41.949300+00:00,2025-10-27T02:41:42.007566+00:00,58.264,200,1,0.9395684044017417
fake1,99,2025-10-27T02:41:42.007609+00:00,2025-10-27T02:41:42.012899+00:00,5.288,200,1,0.9395684044017417
fake1,100,2025-10-27T02:41:42.012957+00:00,2025-10-27T02:41:42.024150+00:00,11.191,200,1,0.9395684044017417
