test_case,iteration,start_iso,end_iso,latency_ms,status_code,prediction,proba
fake1,1,2025-11-07T21:37:47.560503+00:00,2025-11-07T21:37:47.653286+00:00,92.785,400,,
fake1,2,2025-11-07T21:37:47.653326+00:00,2025-11-07T21:37:47.726470+00:00,73.141,400,,
fake1,3,2025-11-07T21:37:47.726533+00:00,2025-11-07T21:37:47.789232+00:00,62.697,400,,
fake1,4,2025-11-07T21:37:47.789270+00:00,2025-11-07T21:37:47.841415+00:00,52.144,400,,
fake1,5,2025-11-07T21:37:47.841453+00:00,2025-11-07T21:37:47.917470+00:00,76.016,400,,
fake1,6,2025-11-07T21:37:47.917506+00:00,2025-11-07T21:37:47.969380+00:00,51.873,400,,
fake1,7,2025-11-07T21:37:47.969417+00:00,2025-11-07T21:37:48.021296+00:00,51.877,400,,
fake1,8,2025-11-07T21:37:48.021347+00:00,2025-11-07T21:37:48.073457+00:00,52.108,400,,
fake1,9,2025-11-07T21:37:48.073495+00:00,2025-11-07T21:37:48.125652+00:00,52.155,400,,
fake1,10,2025-11-07T21:37:48.125688+00:00,2025-11-07T21:37:48.189514+00:00,63.824,400,,
fake1,11,2025-11-07T21:37:48.189561+00:00,2025-11-07T21:37:48.253473+00:00,63.910,400,,
fake1,12,2025-11-07T21:37:48.253508+00:00,2025-11-07T21:37:48.334661+00:00,81.152,400,,
fake1,13,2025-11-07T21:37:48.334699+00:00,2025-11-07T21:37:48.386227+00:00,51.527,400,,
fake1,14,2025-11-07T21:37:48.386262+00:00,2025-11-07T21:37:48.446200+00:00,59.936,400,,
fake1,15,2025-11-07T21:37:48.446237+00:00,2025-11-07T21:37:48.514181+00:00,67.942,400,,
fake1,16,2025-11-07T21:37:48.514220+00:00,2025-11-07T21:37:48.590226+00:00,76.005,400,,
fake1,17,2025-11-07T21:37:48.590265+00:00,2025-11-07T21:37:48.653533+00:00,63.266,400,,
fake1,18,2025-11-07T21:37:48.653573+00:00,2025-11-07T21:37:48.725019+00:00,71.444,400,,
fake1,19,2025-11-07T21:37:48.725086+00:00,2025-11-07T21:37:48.781344+00:00,56.256,400,,
fake1,20,2025-11-07T21:37:48.781380+00:00,2025-11-07T21:37:48.842148+00:00,60.766,400,,
fake1,21,2025-11-07T21:37:48.842190+00:00,2025-11-07T21:37:48.909741+00:00,67.550,400,,
fake1,22,2025-11-07T21:37:48.909779+00:00,2025-11-07T21:37:48.969519+00:00,59.739,400,,
fake1,23,2025-11-07T21:37:48.969557+00:00,2025-11-07T21:37:49.049063+00:00,79.504,400,,
