test_case,iteration,start_iso,end_iso,latency_ms,status_code,prediction,proba
real1,1,2025-11-07T21:38:00.356955+00:00,2025-11-07T21:38:00.414285+00:00,57.331,400,,
real1,2,2025-11-07T21:38:00.414320+00:00,2025-11-07T21:38:00.487990+00:00,73.668,400,,
real1,3,2025-11-07T21:38:00.488026+00:00,2025-11-07T21:38:00.539784+00:00,51.756,400,,
real1,4,2025-11-07T21:38:00.539822+00:00,2025-11-07T21:38:00.598665+00:00,58.841,400,,
real1,5,2025-11-07T21:38:00.598741+00:00,2025-11-07T21:38:00.674928+00:00,76.185,400,,
real1,6,2025-11-07T21:38:00.674966+00:00,2025-11-07T21:38:00.751810+00:00,76.842,400,,
real1,7,2025-11-07T21:38:00.751847+00:00,2025-11-07T21:38:00.824038+00:00,72.188,400,,
real1,8,2025-11-07T21:38:00.824082+00:00,2025-11-07T21:38:00.878345+00:00,54.262,400,,
real1,9,2025-11-07T21:38:00.878385+00:00,2025-11-07T21:38:00.935595+00:00,57.201,400,,
real1,10,2025-11-07T21:38:00.935817+00:00,2025-11-07T21:38:01.014426+00:00,78.610,400,,
real1,11,2025-11-07T21:38:01.014466+00:00,2025-11-07T21:38:01.068919+00:00,54.446,400,,
real1,12,2025-11-07T21:38:01.068985+00:00,2025-11-07T21:38:01.146703+00:00,77.717,400,,
real1,13,2025-11-07T21:38:01.146739+00:00,2025-11-07T21:38:01.222726+00:00,75.986,400,,
real1,14,2025-11-07T21:38:01.222764+00:00,2025-11-07T21:38:01.275203+00:00,52.437,400,,
real1,15,2025-11-07T21:38:01.275241+00:00,2025-11-07T21:38:01.331140+00:00,55.894,400,,
real1,16,2025-11-07T21:38:01.331233+00:00,2025-11-07T21:38:01.399143+00:00,67.908,400,,
real1,17,2025-11-07T21:38:01.399179+00:00,2025-11-07T21:38:01.451150+00:00,51.970,400,,
real1,18,2025-11-07T21:38:01.451190+00:00,2025-11-07T21:38:01.503430+00:00,52.238,400,,
real1,19,2025-11-07T21:38:01.503469+00:00,2025-11-07T21:38:01.563307+00:00,59.836,400,,
real1,20,2025-11-07T21:38:01.563349+00:00,2025-11-07T21:38:01.618952+00:00,55.600,400,,
real1,21,2025-11-07T21:38:01.619004+00:00,2025-11-07T21:38:01.674909+00:00,55.903,400,,
real1,22,2025-11-07T21:38:01.674947+00:00,2025-11-07T21:38:01.742725+00:00,67.776,400,,
real1,23,2025-11-07T21:38:01.742764+00:00,2025-11-07T21:38:01.803181+00:00,60.415,400,,
real1,24,2025-11-07T21:38:01.803218+00:00,2025-11-07T21:38:01.879053+00:00,75.833,400,,
real1,25,2025-11-07T21:38:01.879091+00:00,2025-11-07T21:38:01.957072+00:00,77.979,400,,
real1,26,2025-11-07T21:38:01.957111+00:00,2025-11-07T21:38:02.006872+00:00,49.760,400,,
real1,27,2025-11-07T21:38:02.006909+00:00,2025-11-07T21:38:02.063260+00:00,56.348,400,,
real1,28,2025-11-07T21:38:02.063314+00:00,2025-11-07T21:38:02.131071+00:00,67.755,400,,
real1,29,2025-11-07T21:38:02.131109+00:00,2025-11-07T21:38:02.186741+00:00,55.630,400,,
real1,30,2025-11-07T21:38:02.186781+00:00,2025-11-07T21:38:02.247119+00:00,60.336,400,,
real1,31,2025-11-07T21:38:02.247152+00:00,2025-11-07T21:38:02.336873+00:00,89.718,400,,
real1,32,2025-11-07T21:38:02.336980+00:00,2025-11-07T21:38:02.391321+00:00,54.341,400,,
real1,33,2025-11-07T21:38:02.391357+00:00,2025-11-07T21:38:02.439299+00:00,47.940,400,,
real1,34,2025-11-07T21:38:02.439335+00:00,2025-11-07T21:38:02.510773+00:00,71.437,400,,
real1,35,2025-11-07T21:38:02.510811+00:00,2025-11-07T21:38:02.559203+00:00,48.390,400,,
real1,36,2025-11-07T21:38:02.559254+00:00,2025-11-07T21:38:02.614705+00:00,55.450,400,,
real1,37,2025-11-07T21:38:02.614739+00:00,2025-11-07T21:38:02.671220+00:00,56.479,400,,
real1,38,2025-11-07T21:38:02.671263+00:00,2025-11-07T21:38:03.739998+00:00,1068.734,400,,
real1,39,2025-11-07T21:38:03.740036+00:00,2025-11-07T21:38:03.815526+00:00,75.488,400,,
real1,40,2025-11-07T21:38:03.815564+00:00,2025-11-07T21:38:03.888132+00:00,72.566,400,,
real1,41,2025-11-07T21:38:03.888170+00:00,2025-11-07T21:38:03.943014+00:00,54.842,400,,
real1,42,2025-11-07T21:38:03.943056+00:00,2025-11-07T21:38:04.016266+00:00,73.208,400,,
real1,43,2025-11-07T21:38:04.016304+00:00,2025-11-07T21:38:04.071506+00:00,55.200,400,,
real1,44,2025-11-07T21:38:04.071544+00:00,2025-11-07T21:38:04.143690+00:00,72.144,400,,
real1,45,2025-11-07T21:38:04.143733+00:00,2025-11-07T21:38:04.207639+00:00,63.904,400,,
real1,46,2025-11-07T21:38:04.207688+00:00,2025-11-07T21:38:04.280137+00:00,72.447,400,,
real1,47,2025-11-07T21:38:04.280175+00:00,2025-11-07T21:38:04.352292+00:00,72.115,400,,
real1,48,2025-11-07T21:38:04.352330+00:00,2025-11-07T21:38:04.432046+00:00,79.715,400,,
real1,49,2025-11-07T21:38:04.432084+00:00,2025-11-07T21:38:04.502200+00:00,70.113,400,,
real1,50,2025-11-07T21:38:04.502239+00:00,2025-11-07T21:38:04.568211+00:00,65.971,400,,
real1,51,2025-11-07T21:38:04.568248+00:00,2025-11-07T21:38:04.624192+00:00,55.943,400,,
real1,52,2025-11-07T21:38:04.624229+00:00,2025-11-07T21:38:04.679472+00:00,55.242,400,,
real1,53,2025-11-07T21:38:04.679546+00:00,2025-11-07T21:38:04.735281+00:00,55.734,400,,
real1,54,2025-11-07T21:38:04.735315+00:00,2025-11-07T21:38:04.799502+00:00,64.184,400,,
real1,55,2025-11-07T21:38:04.799548+00:00,2025-11-07T21:38:04.867388+00:00,67.839,400,,
real1,56,2025-11-07T21:38:04.867427+00:00,2025-11-07T21:38:04.942638+00:00,75.209,400,,
real1,57,2025-11-07T21:38:04.942674+00:00,2025-11-07T21:38:04.991383+00:00,48.706,400,,
real1,58,2025-11-07T21:38:04.991420+00:00,2025-11-07T21:38:05.040235+00:00,48.813,400,,
real1,59,2025-11-07T21:38:05.040271+00:00,2025-11-07T21:38:05.092167+00:00,51.894,400,,
real1,60,2025-11-07T21:38:05.092204+00:00,2025-11-07T21:38:05.159499+00:00,67.293,400,,
real1,61,2025-11-07T21:38:05.159540+00:00,2025-11-07T21:38:05.223930+00:00,64.388,400,,
real1,62,2025-11-07T21:38:05.223968+00:00,2025-11-07T21:38:05.296023+00:00,72.053,400,,
real1,63,2025-11-07T21:38:05.296063+00:00,2025-11-07T21:38:05.367374+00:00,71.309,400,,
real1,64,2025-11-07T21:38:05.367412+00:00,2025-11-07T21:38:05.419360+00:00,51.947,400,,
real1,65,2025-11-07T21:38:05.419397+00:00,2025-11-07T21:38:05.495512+00:00,76.114,400,,
real1,66,2025-11-07T21:38:05.495546+00:00,2025-11-07T21:38:05.553280+00:00,57.731,400,,
real1,67,2025-11-07T21:38:05.553317+00:00,2025-11-07T21:38:05.615108+00:00,61.788,400,,
real1,68,2025-11-07T21:38:05.615154+00:00,2025-11-07T21:38:05.683402+00:00,68.247,400,,
real1,69,2025-11-07T21:38:05.683440+00:00,2025-11-07T21:38:05.743028+00:00,59.586,400,,
real1,70,2025-11-07T21:38:05.743068+00:00,2025-11-07T21:38:05.795780+00:00,52.710,400,,
real1,71,2025-11-07T21:38:05.795816+00:00,2025-11-07T21:38:05.847243+00:00,51.425,400,,
real1,72,2025-11-07T21:38:05.847281+00:00,2025-11-07T21:38:05.916305+00:00,69.021,400,,
