test_case,iteration,start_iso,end_iso,latency_ms,status_code,prediction,proba
fake2,1,2025-10-27T02:41:42.026135+00:00,2025-10-27T02:41:42.032649+00:00,6.514,200,1,0.5442151006353699
fake2,2,2025-10-27T02:41:42.032697+00:00,2025-10-27T02:41:42.039627+00:00,6.929,200,1,0.5442151006353699
fake2,3,2025-10-27T02:41:42.039690+00:00,2025-10-27T02:41:42.048037+00:00,8.346,200,1,0.5442151006353699
fake2,4,2025-10-27T02:41:42.048077+00:00,2025-10-27T02:41:42.065603+00:00,17.525,200,1,0.5442151006353699
fake2,5,2025-10-27T02:41:42.065646+00:00,2025-10-27T02:41:42.071049+00:00,5.401,200,1,0.5442151006353699
fake2,6,2025-10-27T02:41:42.071093+00:00,2025-10-27T02:41:42.095871+00:00,24.777,200,1,0.5442151006353699
fake2,7,2025-10-27T02:41:42.095914+00:00,2025-10-27T02:41:42.112054+00:00,16.138,200,1,0.5442151006353699
fake2,8,2025-10-27T02:41:42.112097+00:00,2025-10-27T02:41:42.126841+00:00,14.742,200,1,0.5442151006353699
fake2,9,2025-10-27T02:41:42.126889+00:00,2025-10-27T02:41:42.132229+00:00,5.338,200,1,0.5442151006353699
fake2,10,2025-10-27T02:41:42.132292+00:00,2025-10-27T02:41:42.154493+00:00,22.199,200,1,0.5442151006353699
fake2,11,2025-10-27T02:41:42.154534+00:00,2025-10-27T02:41:42.160148+00:00,5.611,200,1,0.5442151006353699
fake2,12,2025-10-27T02:41:42.160208+00:00,2025-10-27T02:41:42.186923+00:00,26.714,200,1,0.5442151006353699
fake2,13,2025-10-27T02:41:42.186966+00:00,2025-10-27T02:41:42.192515+00:00,5.546,200,1,0.5442151006353699
fake2,14,2025-10-27T02:41:42.192607+00:00,2025-10-27T02:41:42.217361+00:00,24.754,200,1,0.5442151006353699
fake2,15,2025-10-27T02:41:42.217403+00:00,2025-10-27T02:41:42.232693+00:00,15.289,200,1,0.5442151006353699
fake2,16,2025-10-27T02:41:42.232732+00:00,2025-10-27T02:41:42.237927+00:00,5.193,200,1,0.5442151006353699
fake2,17,2025-10-27T02:41:42.237968+00:00,2025-10-27T02:41:42.259956+00:00,21.987,200,1,0.5442151006353699
fake2,18,2025-10-27T02:41:42.259998+00:00,2025-10-27T02:41:42.265014+00:00,5.013,200,1,0.5442151006353699
fake2,19,2025-10-27T02:41:42.265067+00:00,2025-10-27T02:41:42.294049+00:00,28.980,200,1,0.5442151006353699
fake2,20,2025-10-27T02:41:42.294105+00:00,2025-10-27T02:41:42.300423+00:00,6.318,200,1,0.5442151006353699
fake2,21,2025-10-27T02:41:42.300462+00:00,2025-10-27T02:41:42.305860+00:00,5.396,200,1,0.5442151006353699
fake2,22,2025-10-27T02:41:42.305897+00:00,2025-10-27T02:41:42.332288+00:00,26.390,200,1,0.5442151006353699
fake2,23,2025-10-27T02:41:42.332329+00:00,2025-10-27T02:41:42.338708+00:00,6.377,200,1,0.5442151006353699
fake2,24,2025-10-27T02:41:42.338753+00:00,2025-10-27T02:41:42.359326+00:00,20.571,200,1,0.5442151006353699
fake2,25,2025-10-27T02:41:42.359380+00:00,2025-10-27T02:41:42.364654+00:00,5.271,200,1,0.5442151006353699
fake2,26,2025-10-27T02:41:42.364708+00:00,2025-10-27T02:41:42.369843+00:00,5.133,200,1,0.5442151006353699
fake2,27,2025-10-27T02:41:42.369880+00:00,2025-10-27T02:41:42.375089+00:00,5.207,200,1,0.5442151006353699
fake2,28,2025-10-27T02:41:42.375140+00:00,2025-10-27T02:41:42.406216+00:00,31.074,200,1,0.5442151006353699
fake2,29,2025-10-27T02:41:42.406258+00:00,2025-10-27T02:41:42.421840+00:00,15.580,200,1,0.5442151006353699
fake2,30,2025-10-27T02:41:42.421901+00:00,2025-10-27T02:41:42.427959+00:00,6.056,200,1,0.5442151006353699
fake2,31,2025-10-27T02:41:42.428014+00:00,2025-10-27T02:41:42.452487+00:00,24.471,200,1,0.5442151006353699
fake2,32,2025-10-27T02:41:42.452530+00:00,2025-10-27T02:41:42.458017+00:00,5.485,200,1,0.5442151006353699
fake2,33,2025-10-27T02:41:42.458075+00:00,2025-10-27T02:41:42.481992+00:00,23.916,200,1,0.5442151006353699
fake2,34,2025-10-27T02:41:42.482033+00:00,2025-10-27T02:41:42.487496+00:00,5.462,200,1,0.5442151006353699
fake2,35,2025-10-27T02:41:42.487541+00:00,2025-10-27T02:41:42.509251+00:00,21.708,200,1,0.5442151006353699
fake2,36,2025-10-27T02:41:42.509305+00:00,2025-10-27T02:41:42.524663+00:00,15.356,200,1,0.5442151006353699
fake2,37,2025-10-27T02:41:42.524706+00:00,2025-10-27T02:41:42.530302+00:00,5.593,200,1,0.5442151006353699
fake2,38,2025-10-27T02:41:42.530352+00:00,2025-10-27T02:41:42.553852+00:00,23.499,200,1,0.5442151006353699
fake2,39,2025-10-27T02:41:42.553895+00:00,2025-10-27T02:41:42.569083+00:00,15.187,200,1,0.5442151006353699
fake2,40,2025-10-27T02:41:42.569125+00:00,2025-10-27T02:41:42.584677+00:00,15.550,200,1,0.5442151006353699
fake2,41,2025-10-27T02:41:42.584722+00:00,2025-10-27T02:41:42.602256+00:00,17.532,200,1,0.5442151006353699
fake2,42,2025-10-27T02:41:42.602298+00:00,2025-10-27T02:41:42.629532+00:00,27.233,200,1,0.5442151006353699
fake2,43,2025-10-27T02:41:42.629572+00:00,2025-10-27T02:41:42.646006+00:00,16.432,200,1,0.5442151006353699
fake2,44,2025-10-27T02:41:42.646049+00:00,2025-10-27T02:41:42.661850+00:00,15.800,200,1,0.5442151006353699
fake2,45,2025-10-27T02:41:42.661888+00:00,2025-10-27T02:41:42.676588+00:00,14.698,200,1,0.5442151006353699
fake2,46,2025-10-27T02:41:42.676626+00:00,2025-10-27T02:41:42.682035+00:00,5.406,200,1,0.5442151006353699
fake2,47,2025-10-27T02:41:42.682086+00:00,2025-10-27T02:41:42.687315+00:00,5.228,200,1,0.5442151006353699
fake2,48,2025-10-27T02:41:42.687352+00:00,2025-10-27T02:41:42.692397+00:00,5.042,200,1,0.5442151006353699
fake2,49,2025-10-27T02:41:42.692466+00:00,2025-10-27T02:41:42.716035+00:00,23.569,200,1,0.5442151006353699
fake2,50,2025-10-27T02:41:42.716075+00:00,2025-10-27T02:41:42.721055+00:00,4.978,200,1,0.5442151006353699
fake2,51,2025-10-27T02:41:42.721098+00:00,2025-10-27T02:41:42.727395+00:00,6.294,200,1,0.5442151006353699
fake2,52,2025-10-27T02:41:42.727454+00:00,2025-10-27T02:41:42.733145+00:00,5.688,200,1,0.5442151006353699
fake2,53,2025-10-27T02:41:42.733192+00:00,2025-10-27T02:41:42.762994+00:00,29.799,200,1,0.5442151006353699
fake2,54,2025-10-27T02:41:42.763060+00:00,2025-10-27T02:41:42.792844+00:00,29.783,200,1,0.5442151006353699
fake2,55,2025-10-27T02:41:42.792885+00:00,2025-10-27T02:41:42.798195+00:00,5.307,200,1,0.5442151006353699
fake2,56,2025-10-27T02:41:42.798247+00:00,2025-10-27T02:41:42.826527+00:00,28.279,200,1,0.5442151006353699
fake2,57,2025-10-27T02:41:42.826566+00:00,2025-10-27T02:41:42.843625+00:00,17.057,200,1,0.5442151006353699
fake2,58,2025-10-27T02:41:42.843670+00:00,2025-10-27T02:41:42.848925+00:00,5.253,200,1,0.5442151006353699
fake2,59,2025-10-27T02:41:42.848976+00:00,2025-10-27T02:41:42.871106+00:00,22.129,200,1,0.5442151006353699
fake2,60,2025-10-27T02:41:42.871143+00:00,2025-10-27T02:41:42.887083+00:00,15.938,200,1,0.5442151006353699
fake2,61,2025-10-27T02:41:42.887120+00:00,2025-10-27T02:41:42.902820+00:00,15.698,200,1,0.5442151006353699
fake2,62,2025-10-27T02:41:42.902865+00:00,2025-10-27T02:41:42.932556+00:00,29.689,200,1,0.5442151006353699
fake2,63,2025-10-27T02:41:42.932597+00:00,2025-10-27T02:41:42.937893+00:00,5.294,200,1,0.5442151006353699
fake2,64,2025-10-27T02:41:42.937932+00:00,2025-10-27T02:41:42.964969+00:00,27.036,200,1,0.5442151006353699
fake2,65,2025-10-27T02:41:42.965013+00:00,2025-10-27T02:41:42.970433+00:00,5.418,200,1,0.5442151006353699
fake2,66,2025-10-27T02:41:42.970487+00:00,2025-10-27T02:41:42.996687+00:00,26.199,200,1,0.5442151006353699
fake2,67,2025-10-27T02:41:42.996729+00:00,2025-10-27T02:41:43.012049+00:00,15.317,200,1,0.5442151006353699
fake2,68,2025-10-27T02:41:43.012089+00:00,2025-10-27T02:41:43.026975+00:00,14.885,200,1,0.5442151006353699
fake2,69,2025-10-27T02:41:43.027019+00:00,2025-10-27T02:41:43.042364+00:00,15.344,200,1,0.5442151006353699
fake2,70,2025-10-27T02:41:43.042402+00:00,2025-10-27T02:41:43.047545+00:00,5.142,200,1,0.5442151006353699
fake2,71,2025-10-27T02:41:43.047588+00:00,2025-10-27T02:41:43.071460+00:00,23.871,200,1,0.5442151006353699
fake2,72,2025-10-27T02:41:43.071498+00:00,2025-10-27T02:41:43.087246+00:00,15.747,200,1,0.5442151006353699
fake2,73,2025-10-27T02:41:43.087286+00:00,2025-10-27T02:41:43.092323+00:00,5.035,200,1,0.5442151006353699
fake2,74,2025-10-27T02:41:43.092375+00:00,2025-10-27T02:41:43.097461+00:00,5.085,200,1,0.5442151006353699
fake2,75,2025-10-27T02:41:43.097497+00:00,2025-10-27T02:41:43.102792+00:00,5.293,200,1,0.5442151006353699
fake2,76,2025-10-27T02:41:43.102832+00:00,2025-10-27T02:41:43.116919+00:00,14.085,200,1,0.5442151006353699
fake2,77,2025-10-27T02:41:43.117171+00:00,2025-10-27T02:41:43.145687+00:00,28.515,200,1,0.5442151006353699
fake2,78,2025-10-27T02:41:43.145729+00:00,2025-10-27T02:41:43.161271+00:00,15.540,200,1,0.5442151006353699
fake2,79,2025-10-27T02:41:43.161312+00:00,2025-10-27T02:41:43.166758+00:00,5.444,200,1,0.5442151006353699
fake2,80,2025-10-27T02:41:43.166799+00:00,2025-10-27T02:41:43.193543+00:00,26.743,200,1,0.5442151006353699
fake2,81,2025-10-27T02:41:43.193599+00:00,2025-10-27T02:41:43.220690+00:00,27.090,200,1,0.5442151006353699
fake2,82,2025-10-27T02:41:43.220732+00:00,2025-10-27T02:41:43.237121+00:00,16.389,200,1,0.5442151006353699
fake2,83,2025-10-27T02:41:43.237164+00:00,2025-10-27T02:41:43.252574+00:00,15.408,200,1,0.5442151006353699
fake2,84,2025-10-27T02:41:43.252616+00:00,2025-10-27T02:41:43.280817+00:00,28.200,200,1,0.5442151006353699
fake2,85,2025-10-27T02:41:43.280854+00:00,2025-10-27T02:41:43.297058+00:00,16.202,200,1,0.5442151006353699
fake2,86,2025-10-27T02:41:43.297114+00:00,2025-10-27T02:41:43.302342+00:00,5.226,200,1,0.5442151006353699
fake2,87,2025-10-27T02:41:43.302395+00:00,2025-10-27T02:41:43.307296+00:00,4.899,200,1,0.5442151006353699
fake2,88,2025-10-27T02:41:43.307333+00:00,2025-10-27T02:41:43.312548+00:00,5.212,200,1,0.5442151006353699
fake2,89,2025-10-27T02:41:43.312603+00:00,2025-10-27T02:41:43.317628+00:00,5.024,200,1,0.5442151006353699
fake2,90,2025-10-27T02:41:43.317675+00:00,2025-10-27T02:41:43.322407+00:00,4.730,200,1,0.5442151006353699
fake2,91,2025-10-27T02:41:43.322459+00:00,2025-10-27T02:41:43.328069+00:00,5.609,200,1,0.5442151006353699
fake2,92,2025-10-27T02:41:43.328116+00:00,2025-10-27T02:41:43.333192+00:00,5.074,200,1,0.5442151006353699
fake2,93,2025-10-27T02:41:43.333246+00:00,2025-10-27T02:41:43.351666+00:00,18.419,200,1,0.5442151006353699
fake2,94,2025-10-27T02:41:43.351714+00:00,2025-10-27T02:41:43.358164+00:00,6.447,200,1,0.5442151006353699
fake2,95,2025-10-27T02:41:43.358225+00:00,2025-10-27T02:41:43.366034+00:00,7.808,200,1,0.5442151006353699
fake2,96,2025-10-27T02:41:43.366092+00:00,2025-10-27T02:41:43.371665+00:00,5.571,200,1,0.5442151006353699
fake2,97,2025-10-27T02:41:43.371704+00:00,2025-10-27T02:41:43.377424+00:00,5.718,200,1,0.5442151006353699
fake2,98,2025-10-27T02:41:43.377481+00:00,2025-10-27T02:41:43.394214+00:00,16.732,200,1,0.5442151006353699
fake2,99,2025-10-27T02:41:43.394269+00:00,2025-10-27T02:41:43.424626+00:00,30.355,200,1,0.5442151006353699
fake2,100,2025-10-27T02:41:43.424672+00:00,2025-10-27T02:41:43.430229+00:00,5.555,200,1,0.5442151006353699
